# year,dir,file_path,inventory_order,OK_to_edit,display_as,display_via_github,entry_text
1989,fubar,README.md,4000000000,true,markdown,true,markdown source for this web page
1989,fubar,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1989,fubar,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1989,fubar,.path,4000000000,false,path,true,directory path from top directory
1989,fubar,index.html,4294967295,false,html,false,this web page
1989,jar.1,jar.1.c,20,true,c,true,entry source
1989,jar.1,Makefile,30,true,makefile,true,entry Makefile
1989,jar.1,jar.1.alt.c,40,true,c,true,alternate code
1989,jar.1,jar.1.orig.c,50,false,c,true,original source
1989,jar.1,jar.1.alt.sh,150,true,shellscript,true,compile or recompile and run alternate code
1989,jar.1,jar.1.sh,150,true,shellscript,true,compile or recompile and run entry
1989,jar.1,1989_jar.1.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1989,jar.1,README.md,4000000000,true,markdown,true,markdown source for this web page
1989,jar.1,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1989,jar.1,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1989,jar.1,.path,4000000000,false,path,true,directory path from top directory
1989,jar.1,index.html,4294967295,false,html,false,this web page
1989,jar.2,jar.2.c,20,true,c,true,entry source
1989,jar.2,Makefile,30,true,makefile,true,entry Makefile
1989,jar.2,jar.2.orig.c,50,false,c,true,original source
1989,jar.2,chocolate_cake.lisp,100,true,lisp,true,input file
1989,jar.2,fib.lisp,100,true,lisp,true,input file
1989,jar.2,try.lisp,100,true,lisp,true,input file
1989,jar.2,try.sh,100,true,shellscript,true,script to try entry
1989,jar.2,1989_jar.2.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1989,jar.2,README.md,4000000000,true,markdown,true,markdown source for this web page
1989,jar.2,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1989,jar.2,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1989,jar.2,.path,4000000000,false,path,true,directory path from top directory
1989,jar.2,index.html,4294967295,false,html,false,this web page
1989,ovdluhe,ovdluhe.c,20,true,c,true,entry source
1989,ovdluhe,Makefile,30,true,makefile,true,entry Makefile
1989,ovdluhe,ovdluhe.alt.c,40,true,c,true,alternate code
1989,ovdluhe,ovdluhe.orig.c,50,false,c,true,original source
1989,ovdluhe,try.alt.sh,100,true,shellscript,true,script to try alternate code
1989,ovdluhe,try.sh,100,true,shellscript,true,script to try entry
1989,ovdluhe,1989_ovdluhe.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1989,ovdluhe,README.md,4000000000,true,markdown,true,markdown source for this web page
1989,ovdluhe,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1989,ovdluhe,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1989,ovdluhe,.path,4000000000,false,path,true,directory path from top directory
1989,ovdluhe,index.html,4294967295,false,html,false,this web page
1989,paul,paul.c,20,true,c,true,entry source
1989,paul,Makefile,30,true,makefile,true,entry Makefile
1989,paul,paul.alt.c,40,true,c,true,alternate code
1989,paul,paul.orig.c,50,false,c,true,original source
1989,paul,1989_paul.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1989,paul,README.md,4000000000,true,markdown,true,markdown source for this web page
1989,paul,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1989,paul,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1989,paul,.path,4000000000,false,path,true,directory path from top directory
1989,paul,index.html,4294967295,false,html,false,this web page
1989,robison,robison.c,20,true,c,true,entry source
1989,robison,Makefile,30,true,makefile,true,entry Makefile
1989,robison,robison.orig.c,50,true,c,true,original source
1989,robison,try.sh,100,true,shellscript,true,script to try entry
1989,robison,1989_robison.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1989,robison,README.md,4000000000,true,markdown,true,markdown source for this web page
1989,robison,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1989,robison,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1989,robison,.path,4000000000,false,path,true,directory path from top directory
1989,robison,index.html,4294967295,false,html,false,this web page
1989,roemer,roemer.c,20,true,c,true,entry source
1989,roemer,Makefile,30,true,makefile,true,entry Makefile
1989,roemer,roemer.orig.c,50,true,c,true,original source
1989,roemer,1989_roemer.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1989,roemer,README.md,4000000000,true,markdown,true,markdown source for this web page
1989,roemer,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1989,roemer,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1989,roemer,.path,4000000000,false,path,true,directory path from top directory
1989,roemer,index.html,4294967295,false,html,false,this web page
1989,tromp,tromp.c,20,true,c,true,entry source
1989,tromp,Makefile,30,true,makefile,true,entry Makefile
1989,tromp,tromp.alt.c,40,true,c,true,alternate code
1989,tromp,tromp.orig.c,50,true,c,true,original source
1989,tromp,1989_tromp.tar.bz2,1415926535,false,tbz2,false,download entry tarball
1989,tromp,README.md,4000000000,true,markdown,true,markdown source for this web page
1989,tromp,.entry.json,4000000000,true,json,true,entry summary and manifest in JSON
1989,tromp,.gitignore,4000000000,true,gitignore,true,list of files that should not be committed under git
1989,tromp,.path,4000000000,false,path,true,directory path from top directory
1989,tromp,index.html,4294967295,false,html,false,this web page
1989,vanb,vanb.c,20,true,c,true,entry source
1989,vanb,Makefile,30,true,makefile,true,entry Makefile
1989,vanb,vanb.orig.c,50,true,c,true,original source
1989,vanb,try.sh,100,true,shellscript,true,script to try entry
